學號,ch01,ch02-1,ch02-2
0554,,,3719
0159,12499,8172,5403
0317,9989,,9340
0331,7711,6066,6837
0510,12962,7998,
0522,13212,6297,4576
0534,,8502,
0546,6407,5407,
0100,11125,11799,3710
0112,9902,7759,3887
0124,10487,10523,3503
0136,,8002,5675
0148,13174,11838,5699
0150,16295,12033,5660
0162,7207,11399,5488
0174,8417,7320,4765
0186,12250,12010,5654
0198,14142,11001,2849
0203,11330,5181,6539
0215,16445,14428,
0227,11956,6508,5345
0239,9301,11842,4481
0241,13065,9943,5612
0253,10468,7228,4647
0265,6568,7137,2851
0277,12934,8060,6258
0289,12344,,5644
0291,14104,9077,3655
0306,11571,6607,4558
0318,13220,9015,5551
0320,,12109,5556
0332,11209,10975,3775
0344,9350,9710,
0356,7760,9996,5557
0368,,,4434
0370,8473,8265,
0382,13421,10358,5776
0394,11576,7946,
0409,10395,,5664
0411,8145,8651,7071
0423,11172,,
0435,11790,10833,5370
0447,12272,9353,3744
0459,8375,,3859
0461,15363,11626,5526
0473,11382,7837,4621
0485,15890,9993,4645
0497,11231,10896,4517
0502,12999,14477,6663
0514,,9530,4584
0526,12212,9833,6401
0538,14903,11797,7214
0540,14705,8401,6207
0552,12773,,6677
0576,5607,9153,5256
0588,11830,7499,5535
0590,11954,8999,3442
0605,13467,8202,5678
0617,10468,12247,4671
0629,11237,11013,3823
0631,,,
0643,11207,10828,4596
0655,,9905,5466
0667,12933,,6219
1013,14114,11440,3629
1025,13665,10600,3827
1037,11350,6776,6415
1049,,8907,7005
1051,8163,7641,
2017,15271,9364,7343
2029,7579,9007,7514
2031,10209,8012,4692
2043,12175,12324,6603
